종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"008060","대덕","7410","-70","-0.94","7530","7530","7330","193442","1431288150","251126011500","33890150"
"00806K","대덕1우","10650","-350","-3.18","11100","11100","10350","33775","357629300","12911602050","1212357"
"353200","대덕전자","17650","-200","-1.12","17900","18150","17500","719718","12784469450","872208726250","49416925"
"35320K","대덕전자1우","14800","-100","-0.67","14750","15000","14650","21775","321344200","31013681200","2095519"
"000490","대동","11850","350","3.04","11500","11850","11150","293968","3375038750","281179288500","23728210"
"008110","대동전자","8030","280","3.61","7930","8180","7460","186124","1459213990","84238289410","10490447"
"005750","대림B&Co","8020","340","4.43","7630","8050","7530","115690","907862340","133711364800","16672240"
"006570","대림통상","4000","200","5.26","3805","4000","3760","57011","219624135","60900000000","15225000"
"001680","대상","24850","400","1.64","24450","24900","24450","114328","2824523150","861003421250","34648025"
"001685","대상우","19100","350","1.87","18800","19100","18700","2277","42882750","26171259300","1370223"
"084690","대상홀딩스","10850","200","1.88","10700","10950","10650","62912","681168350","392906037300","36212538"
"084695","대상홀딩스우","12000","200","1.69","11850","12200","11800","2216","26435800","10961784000","913482"
"128820","대성산업","4820","65","1.37","4855","5010","4785","613916","3018281180","218035003960","45235478"
"117580","대성에너지","8750","640","7.89","8680","9940","8470","8961862","83278156550","240625000000","27500000"
"016710","대성홀딩스","39500","150","0.38","39350","39600","39000","26423","1035292050","635533630500","16089459"
"003540","대신증권","20100","500","2.55","19650","20150","19550","230870","4605133150","1020545340000","50773400"
"003547","대신증권2우B","17900","500","2.87","17450","17950","17400","80280","1426890600","179000000000","10000000"
"003545","대신증권우","18400","400","2.22","18050","18550","18000","144586","2648670000","478400000000","26000000"
"009190","대양금속","5720","-160","-2.72","5910","5910","5630","1163926","6681211280","177303766640","30997162"
"014160","대영포장","2695","-35","-1.28","2735","2735","2655","1016038","2729648510","292123309555","108394549"
"047040","대우건설","6980","70","1.01","6940","6980","6760","2489140","17107182590","2901046013240","415622638"
"009320","대우부품","2550","5","0.20","2545","2570","2490","380351","965709085","121498256250","47646375"
"042660","대우조선해양","27800","550","2.02","27700","28350","27500","401129","11146253400","2982680598200","107290669"
"003090","대웅","36300","400","1.11","36250","37100","35950","145532","5302077450","2110553874000","58141980"
"069620","대웅제약","158000","1500","0.96","158000","160500","157000","38709","6138596000","1830678850000","11586575"
"000430","대원강업","4465","-40","-0.89","4500","4550","4375","393593","1749762370","276830000000","62000000"
"006340","대원전선","2185","-5","-0.23","2185","2210","2130","1085797","2354802310","155172072895","71016967"
"006345","대원전선우","3775","45","1.21","3655","3790","3655","12831","47541250","9895030000","2621200"
"003220","대원제약","18350","50","0.27","18400","18650","17850","436825","7978641950","389475502050","21224823"
"024890","대원화성","3535","-175","-4.72","3635","3675","3480","2146056","7643639360","145815752320","41249152"
"002880","대유에이텍","1345","-5","-0.37","1350","1380","1335","1131669","1533496255","150453821065","111861577"
"000300","대유플러스","1525","-75","-4.69","1580","1605","1510","4101247","6340477800","184523130350","120998774"
"012800","대창","2290","-25","-1.08","2350","2380","2270","1978692","4562306310","208711742710","91140499"
"015230","대창단조","8030","-130","-1.59","8160","8170","7930","58952","472017860","114717503450","14286115"
"001070","대한방직","44100","50","0.11","44300","44300","43950","954","41988800","233730000000","5300000"
"006650","대한유화","231500","9500","4.28","224000","233500","220500","75996","17305964000","1504750000000","6500000"
"001440","대한전선","2605","15","0.58","2590","2615","2525","7920313","20413781010","2231112188445","856473009"
"084010","대한제강","23300","-1050","-4.31","24150","24550","22800","465219","10880641200","574268902200","24646734"
"001790","대한제당","3400","200","6.25","3280","3450","3230","5718571","19289849585","304968372000","89696580"
"001795","대한제당우","3825","225","6.25","3640","3970","3625","940390","3579205260","24796557000","6482760"
"001130","대한제분","166500","500","0.30","165000","166500","164000","4804","793421500","281385000000","1690000"
"003490","대한항공","31300","1100","3.64","30600","31600","30550","4084794","127993456050","10886791822500","347820825"
"003495","대한항공우","39200","600","1.55","38550","39950","38550","7325","289494750","43543124800","1110794"
"005880","대한해운","2850","5","0.18","2855","2860","2805","780503","2212555785","909655761000","319177460"
"003830","대한화섬","142000","0","0.00","142000","142000","137500","405","56604000","188576000000","1328000"
"016090","대현","3685","-85","-2.25","3850","3950","3570","18079577","67433522345","163180312350","44282310"
"069460","대호에이엘","4065","5","0.12","4090","4180","4015","198398","810883065","199174821240","48997496"
"192080","더블유게임즈","58000","500","0.87","58000","58600","57500","45912","2663129500","1065721116000","18374502"
"012510","더존비즈온","94000","-4200","-4.28","98500","98500","94000","196946","18936229800","2852022134000","30340661"
"004830","덕성","16100","-950","-5.57","16700","16750","15900","806593","13057353000","252448000000","15680000"
"004835","덕성우","20600","-1200","-5.50","21150","21350","19950","102167","2102691100","28675200000","1392000"
"024900","덕양산업","3140","-30","-0.95","3165","3195","3085","104500","326149570","102254037200","32564980"
"145720","덴티움","89000","-1400","-1.55","90600","91500","87800","62509","5596370100","985125870000","11068830"
"002150","도화엔지니어링","8160","140","1.75","8110","8280","8040","61077","495606730","275155200000","33720000"
"001230","동국제강","20350","-150","-0.73","20700","21100","20250","1615971","33253092750","1942056197950","95432737"
"023450","동남합성","67200","500","0.75","67800","67800","67100","360","24246700","242592000000","3610000"
"004140","동방","5180","10","0.19","5140","5240","5080","368790","1902090830","207053747880","39971766"
